datetime,symbol,open,high,low,close,volume,adx,sma10,ema10,sma20,ema20,sma50,ema50,sma100,ema100,sma200,ema200,upper_band1,lower_band1,upper_band2,lower_band2
2017-09-10 08:00:00,Binance:ETHUSDT,296.72,302.78,261.03,293.5,4156.45099,,323.2,317.72,333.92,322.95,,,,,,,364.3117592503835,303.53724074961644,394.69901850076695,273.149981499233
2017-09-11 08:00:00,Binance:ETHUSDT,293.5,304.98,285.21,297.3,4829.64647,,314.08,314.0,333.3,320.5,,,,,,,364.2989036192636,302.3000963807363,395.2983072385273,271.30069276147265
2017-09-12 08:00:00,Binance:ETHUSDT,297.3,316.46,286.01,293.96,5176.31402,,309.16,310.36,332.21,317.98,,,,,,,364.17516978947214,300.2458302105279,396.13983957894425,268.2811604210558
2017-09-13 08:00:00,Binance:ETHUSDT,293.96,294.5,257.05,276.91,6451.22836,41.243025,302.68,304.28,329.88,314.07,,,,,,,364.0226007504921,295.7473992495079,398.16020150098416,261.6097984990158
2017-09-14 08:00:00,Binance:ETHUSDT,276.91,283.77,215.0,215.21,12601.95676,42.406836,295.82,288.08,324.28,304.65,,,,,,,366.6056805056166,281.9613194943834,408.92786101123323,239.63913898876677
2017-09-15 08:00:00,Binance:ETHUSDT,217.0,270.93,192.0,253.0,14223.8953,43.716761,289.91,281.7,320.39,299.73,,,,,,,365.42719768792773,275.3608023120723,410.46039537585546,230.32760462414453
2017-09-16 08:00:00,Binance:ETHUSDT,255.99,271.81,235.51,249.31,10362.06011,44.897475,281.34,275.81,315.45,294.93,,,,,,,362.5460767841727,268.35992321582734,409.63915356834536,221.2668464316547
2017-09-17 08:00:00,Binance:ETHUSDT,249.31,264.39,239.02,257.55,4614.53337,45.993851,273.65,272.49,311.03,291.37,,,,,,,359.18837874013957,262.87262125986047,407.34625748027906,214.71474251972097
2017-09-18 08:00:00,Binance:ETHUSDT,257.55,306.22,257.11,294.57,4125.97051,45.339202,272.81,276.51,307.02,291.67,,,,,,,353.0021076600593,261.0458923399407,398.9802153201186,215.0677846798814
2017-09-19 08:00:00,Binance:ETHUSDT,294.57,300.0,277.41,284.0,1869.90852,44.731313,271.53,277.87,301.93,290.94,,,,,,,344.39171386002556,259.46328613997446,386.85592772005117,216.99907227994885
2017-09-20 08:00:00,Binance:ETHUSDT,284.01,294.0,275.91,282.0,1060.56734,44.194103,270.38,278.62,296.79,290.09,,,,,,,334.9107040751307,258.6652959248693,373.0334081502614,220.54259184973867
2017-09-21 08:00:00,Binance:ETHUSDT,282.0,287.0,252.1,257.0,1912.55583,44.115058,266.35,274.69,290.22,286.94,,,,,,,322.9121360366618,257.51786396333824,355.60927207332367,224.8207279266764
2017-09-22 08:00:00,Binance:ETHUSDT,257.0,272.97,253.01,264.0,1464.5125,44.041658,263.36,272.75,286.26,284.76,,,,,,,317.04360355101056,255.47239644898937,347.8292071020212,224.68679289797876
2017-09-23 08:00:00,Binance:ETHUSDT,264.0,286.23,255.11,285.93,2824.33572,43.390849,264.26,275.14,283.47,284.87,,,,,,,311.4996296972044,255.43237030279565,339.53325939440873,227.39874060559129
2017-09-24 08:00:00,Binance:ETHUSDT,285.93,294.61,275.0,282.0,5575.54422,42.426552,270.94,276.39,283.38,284.59,,,,,,,311.41282412421896,255.34217587578092,339.448148248438,227.30685175156194
2017-09-25 08:00:00,Binance:ETHUSDT,282.0,299.0,281.34,294.42,5870.48035,41.339669,275.08,279.67,282.49,285.53,,,,,,,309.8815023322683,255.1064976677316,337.26900466453674,227.7189953354632
2017-09-26 08:00:00,Binance:ETHUSDT,294.42,296.81,286.24,287.9,4566.92804,40.33042,278.94,281.16,280.14,285.76,,,,,,,304.7996264924479,255.47837350755202,329.46025298489576,230.81774701510412
2017-09-27 08:00:00,Binance:ETHUSDT,289.91,313.0,286.13,309.74,5518.10382,38.656292,284.16,286.36,278.9,288.04,,,,,,,301.3230185201633,256.47998147983657,323.7445370403267,234.05846295967322
2017-09-28 08:00:00,Binance:ETHUSDT,309.74,311.81,296.89,302.44,6600.90922,37.101744,284.94,289.28,278.87,289.41,,,,,,,301.26627531985145,256.4817246801484,323.6585506397029,234.08944936029687
2017-09-29 08:00:00,Binance:ETHUSDT,302.44,303.0,274.0,292.22,11089.19902,36.355036,285.77,289.82,278.65,289.68,,,,,,,300.881061102781,256.4149388972189,323.11412220556207,234.18187779443787
2017-09-30 08:00:00,Binance:ETHUSDT,292.62,307.49,292.22,304.36,4020.60795,35.44278,288.0,292.46,279.19,291.08,,,,,,,301.9075228193053,256.4744771806945,324.6240456386107,233.75795436138912
2017-10-01 08:00:00,Binance:ETHUSDT,304.36,306.0,294.0,303.95,5060.05758,34.595685,292.7,294.55,279.52,292.3,,,,,,,302.5492130779924,256.4977869220074,325.57492615598494,233.47207384401486
2017-10-02 08:00:00,Binance:ETHUSDT,303.94,305.0,295.0,296.5,3710.83747,33.809097,295.95,294.9,279.65,292.7,,,,,,,302.7623321374577,256.5386678625421,325.8741642749155,233.42683572508435
2017-10-03 08:00:00,Binance:ETHUSDT,298.15,301.99,283.18,292.48,5546.85702,33.480933,296.6,294.46,280.43,292.68,,,,,,,303.69711141885006,257.1608885811498,326.9652228377002,233.89277716229967
2017-10-04 08:00:00,Binance:ETHUSDT,292.47,297.97,288.0,291.99,4014.88792,33.176209,297.6,294.01,284.27,292.62,,,,,,,302.175373509256,266.3606264907438,320.0827470185122,248.45325298148768
2017-10-05 08:00:00,Binance:ETHUSDT,290.0,297.44,285.53,294.81,3412.39016,32.981968,297.64,294.16,286.36,292.82,305.03,305.03,,,,,302.88048937023063,269.83651062976924,319.40247874046133,253.31452125953854
2017-10-06 08:00:00,Binance:ETHUSDT,294.81,310.8,293.78,310.8,3541.02359,31.937516,299.93,297.18,289.43,294.54,305.2,305.25,,,,,304.4251099582424,274.44089004175737,319.4172199164849,259.44878008351486
2017-10-07 08:00:00,Binance:ETHUSDT,309.9,318.5,303.6,311.01,2165.79076,30.507562,300.06,299.7,292.11,296.11,305.54,305.48,,,,,305.89260560109176,278.319394398908,319.67921120218364,264.5327887978161
2017-10-08 08:00:00,Binance:ETHUSDT,311.08,317.07,309.0,311.07,2960.93198,29.179747,300.92,301.77,292.93,297.53,305.95,305.7,,,,,307.32085646210635,278.5411435378935,321.7107129242127,264.15128707578714
2017-10-09 08:00:00,Binance:ETHUSDT,311.13,312.13,286.65,297.19,4885.37863,28.920951,301.42,300.93,293.59,297.5,305.91,305.36,,,,,307.85765965951344,279.32334034048637,322.124819319027,265.05618068097283
2017-10-10 08:00:00,Binance:ETHUSDT,297.35,308.56,293.0,298.64,6749.27468,28.680641,300.84,300.52,294.42,297.61,305.41,305.1,,,,,308.47303410906613,280.37196589093367,322.52356821813237,266.32143178186743
2017-10-11 08:00:00,Binance:ETHUSDT,298.64,305.5,298.02,304.01,3724.6863,28.457496,300.85,301.15,296.77,298.22,305.3,305.06,,,,,308.01873212378996,285.52726787620986,319.26446424757995,274.28153575241987
2017-10-12 08:00:00,Binance:ETHUSDT,304.01,310.0,302.71,303.99,7827.75596,27.914174,301.6,301.67,298.77,298.77,305.06,305.02,,,,,307.2205334250057,290.3244665749941,315.66856685001153,281.8764331499883
2017-10-13 08:00:00,Binance:ETHUSDT,303.99,353.96,297.0,337.96,17925.36585,26.872014,306.15,308.27,301.37,302.5,305.35,306.31,,,,,312.91254340894216,289.83545659105766,324.4510868178844,278.2969131821154
2017-10-14 08:00:00,Binance:ETHUSDT,337.96,349.8,335.0,342.0,7731.96469,25.904295,311.15,314.4,304.37,306.26,305.65,307.71,,,,,318.08144264989045,290.6665573501094,331.788885299781,276.95911470021883
2017-10-15 08:00:00,Binance:ETHUSDT,342.0,348.0,316.17,337.96,10011.34708,24.099346,315.46,318.68,306.55,309.28,305.79,308.89,,,,,321.8677071852947,291.23429281470504,337.1844143705895,275.91758562941027
2017-10-16 08:00:00,Binance:ETHUSDT,337.96,354.0,332.78,335.19,8663.47097,22.624119,317.9,321.68,308.92,311.75,305.53,309.92,,,,,324.8097531988781,293.02124680112166,340.70400639775636,277.12699360224343
2017-10-17 08:00:00,Binance:ETHUSDT,335.18,336.58,312.65,315.19,8146.74356,21.70627,318.32,320.5,309.19,312.08,304.92,310.13,,,,,325.1406645423283,293.23533545767145,341.0933290846568,277.282670915343
2017-10-18 08:00:00,Binance:ETHUSDT,315.19,318.0,284.68,309.7,12908.0454,21.888575,318.18,318.54,309.55,311.85,303.62,310.11,,,,,325.4284075024888,293.6735924975109,341.30581500497783,277.7961849950219
2017-10-19 08:00:00,Binance:ETHUSDT,309.7,315.0,300.0,308.66,8678.74739,22.057857,319.33,316.74,310.37,311.55,302.07,310.06,,,,,325.74953735403653,294.9964626459632,341.1260747080732,279.61992529192656
2017-10-20 08:00:00,Binance:ETHUSDT,308.66,311.18,302.0,304.51,8739.31764,22.215049,319.92,314.52,310.38,310.88,300.47,309.84,,,,,325.75413895602054,295.0068610439792,341.1277779120412,279.63322208795853
2017-10-21 08:00:00,Binance:ETHUSDT,304.51,305.34,290.0,298.94,8591.63121,22.789537,319.41,311.69,310.13,309.74,298.68,309.41,,,,,325.6465302178058,294.613469782194,341.1630604356116,279.09693956438815
2017-10-22 08:00:00,Binance:ETHUSDT,298.94,306.99,290.0,293.79,7173.06893,23.215129,318.39,308.43,309.99,308.22,297.69,308.8,,,,,325.6407546556696,294.3482453443302,341.2870093113393,278.7019906886605
2017-10-23 08:00:00,Binance:ETHUSDT,293.79,294.6,272.2,281.09,9658.78404,24.214423,312.7,303.46,309.42,305.64,296.48,307.71,,,,,325.884543584197,292.9654564158028,342.344087168394,276.50591283160577
2017-10-24 08:00:00,Binance:ETHUSDT,282.27,310.0,275.5,297.38,14066.67924,24.16642,308.24,302.36,309.69,304.85,296.75,307.31,,,,,325.9086630912618,293.4803369087381,342.1228261825237,277.2661738174762
2017-10-25 08:00:00,Binance:ETHUSDT,297.38,300.0,281.0,294.49,9703.09261,24.121846,303.89,300.93,309.68,303.86,296.4,306.81,,,,,325.9074942001985,293.4495057998012,342.1364884003972,277.22051159960256
2017-10-26 08:00:00,Binance:ETHUSDT,294.49,299.76,291.03,294.71,7813.02717,24.080456,299.85,299.8,308.87,302.99,295.59,306.33,,,,,325.42310704539847,292.32489295460135,341.972214090797,275.7757859092028
2017-10-27 08:00:00,Binance:ETHUSDT,294.71,298.1,292.03,296.33,6272.14802,24.042023,297.96,299.17,308.14,302.36,294.83,305.94,,,,,324.90226893949836,291.3777310605014,341.66453787899684,274.6154621210029
2017-10-28 08:00:00,Binance:ETHUSDT,296.33,297.0,290.1,291.87,5848.86589,24.096494,296.18,297.84,307.18,301.36,294.61,305.39,,,,,324.29310784165335,290.06689215834643,341.4062156833068,272.953784316693
2017-10-29 08:00:00,Binance:ETHUSDT,291.87,309.4,291.86,305.0,9019.13315,23.233181,295.81,299.14,307.57,301.71,294.77,305.37,,,,,324.53969517095715,290.6013048290427,341.50889034191437,273.6321096580855
2017-10-30 08:00:00,Binance:ETHUSDT,305.0,316.0,302.1,307.25,8946.12026,21.987486,296.09,300.62,308.0,302.23,295.05,305.45,,,,,324.84694013405215,291.1550598659476,341.6928802681044,274.30911973189535
2017-10-31 08:00:00,Binance:ETHUSDT,307.25,309.99,304.01,304.9,7640.41182,20.830769,296.68,301.39,308.05,302.49,295.2,305.42,,,,,324.88201165622183,291.20898834377783,341.71852331244384,274.37247668755583
2017-11-01 08:00:00,Binance:ETHUSDT,304.89,305.9,286.34,287.01,9843.1666,20.745833,296.0,298.78,307.2,301.01,295.06,304.7,,,,,324.63351759906357,289.75948240093624,342.07053519812723,272.32246480187257
2017-11-02 08:00:00,Binance:ETHUSDT,287.3,293.0,274.73,283.12,13423.8572,21.207744,296.21,295.93,304.45,299.31,295.18,303.86,,,,,321.13368657339305,287.7753134266067,337.81287314678616,271.0961268532136
2017-11-03 08:00:00,Binance:ETHUSDT,283.12,307.0,282.0,304.08,8194.03465,20.646119,296.88,297.41,302.56,299.76,296.96,303.86,,,,,316.8457052113092,288.2712947886905,331.13291042261864,273.9840895773811
2017-11-04 08:00:00,Binance:ETHUSDT,304.09,304.99,292.11,298.04,7828.41744,20.124611,297.23,297.53,300.56,299.6,297.86,303.64,,,,,312.33100664910614,288.79399335089363,324.0995132982124,277.0254867017874
2017-11-05 08:00:00,Binance:ETHUSDT,298.04,302.14,293.13,295.53,6638.42119,19.640352,297.31,297.16,298.58,299.21,298.79,303.32,,,,,307.290330887467,289.86866911253276,316.00116177493413,281.15783822506563
2017-11-06 08:00:00,Binance:ETHUSDT,295.53,305.58,290.11,297.97,7515.50103,18.928601,297.48,297.31,297.72,299.09,299.59,303.11,,,,,305.5517874803654,289.88521251963436,313.385074960731,282.0519250392688
2017-11-07 08:00:00,Binance:ETHUSDT,297.97,303.52,287.0,291.78,9418.57881,18.464819,297.47,296.31,296.82,298.4,299.54,302.66,,,,,304.2483365690369,289.39666343096286,311.6741731380739,281.97082686192584
2017-11-08 08:00:00,Binance:ETHUSDT,291.78,320.0,290.02,303.02,15961.85772,17.450062,297.27,297.53,296.54,298.84,299.92,302.68,,,,,303.60998758751447,289.4710124124853,310.679475175029,282.4015248249708
2017-11-09 08:00:00,Binance:ETHUSDT,303.6,329.0,299.5,317.87,11151.29946,17.056999,298.33,301.22,297.21,300.65,300.64,303.27,,,,,305.5213312114502,288.8956687885495,313.8341624229006,280.5828375770991
2017-11-10 08:00:00,Binance:ETHUSDT,318.5,322.65,285.82,293.5,15597.16557,15.914323,297.19,299.82,296.94,299.97,301.37,302.89,,,,,305.2771787943207,288.5958212056791,313.6178575886415,280.2551424113583
2017-11-11 08:00:00,Binance:ETHUSDT,293.5,318.0,291.91,310.02,10850.16279,14.853266,299.49,301.67,297.75,300.93,302.29,303.17,,,,,306.52138395375687,288.9746160462429,315.29476790751386,280.2012320924859
2017-11-12 08:00:00,Binance:ETHUSDT,310.87,316.99,281.01,305.24,21123.15319,14.553202,301.71,302.32,298.96,301.34,302.67,303.25,,,,,306.9833430945093,290.92765690549044,315.01118618901864,282.8998138109811
2017-11-13 08:00:00,Binance:ETHUSDT,304.0,318.88,303.7,312.99,15551.67434,14.13402,302.6,304.26,299.74,302.45,303.29,303.63,,,,,308.3127904253321,291.15920957466756,316.8895808506643,282.58241914933535
2017-11-14 08:00:00,Binance:ETHUSDT,312.99,337.54,312.94,335.61,17709.2227,13.738543,306.35,309.96,301.79,305.61,304.12,304.89,,,,,313.2944069655044,290.2895930344952,324.7968139310089,278.7871860689907
2017-11-15 08:00:00,Binance:ETHUSDT,335.6,339.0,324.0,331.33,15597.16131,13.457632,309.93,313.85,303.62,308.06,304.98,305.92,,,,,316.6640789814366,290.58192101856304,329.7051579628734,277.54084203712625
2017-11-16 08:00:00,Binance:ETHUSDT,331.33,334.75,321.41,331.49,14145.71696,13.00356,313.28,317.05,305.38,310.29,305.42,306.93,,,,,319.6340091208867,291.12799087911293,333.8870182417736,276.874981758226
2017-11-17 08:00:00,Binance:ETHUSDT,331.49,334.6,323.84,331.23,18042.02544,12.581921,317.23,319.63,307.35,312.28,306.0,307.88,,,,,322.3008035366999,292.39719646329974,337.25260707339993,277.4453929265997
2017-11-18 08:00:00,Binance:ETHUSDT,331.23,349.9,326.01,346.66,14361.4973,13.148655,321.59,324.55,309.43,315.56,307.08,309.4,,,,,326.6427346153522,292.2212653846474,343.8534692307046,275.010530769295
2017-11-19 08:00:00,Binance:ETHUSDT,346.66,373.56,343.07,354.15,19397.74898,14.775586,325.22,329.93,311.78,319.23,308.08,311.16,,,,,331.53699192813895,292.0170080718606,351.2969838562782,272.25701614372133
2017-11-20 08:00:00,Binance:ETHUSDT,355.15,372.5,353.9,367.42,18277.0194,16.286308,332.61,336.75,314.9,323.82,309.35,313.36,,,,,337.9925630318134,291.8134369681862,361.082126063627,268.72387393637257
2017-11-21 08:00:00,Binance:ETHUSDT,367.42,375.5,350.02,362.12,26237.64398,17.343863,337.82,341.36,318.66,327.47,310.66,315.27,,,,,342.98123468897114,294.3357653110284,367.3039693779425,270.01303062205704
2017-11-22 08:00:00,Binance:ETHUSDT,362.12,384.84,359.0,380.65,18121.58484,18.741324,345.36,348.5,323.53,332.53,312.43,317.84,,,,,349.93222002408817,297.1377799759113,376.32944004817665,270.74055995182283
2017-11-23 08:00:00,Binance:ETHUSDT,380.63,425.0,370.02,405.0,25409.00111,21.305365,354.57,358.78,328.58,339.43,314.69,321.26,,,,,359.953815764609,297.2081842353906,391.3266315292181,265.8353684707815
2017-11-24 08:00:00,Binance:ETHUSDT,405.03,475.0,392.8,469.0,30398.35831,24.572983,367.9,378.82,337.13,351.77,318.17,327.05,311.6,311.6,,,380.1455364598324,294.1124635401672,423.162072919665,251.09592708033458
2017-11-25 08:00:00,Binance:ETHUSDT,467.57,484.47,450.0,461.82,21428.63117,27.731623,380.95,393.91,345.44,362.25,321.19,332.33,313.2,314.57,,,395.1643199122876,295.72268008771186,444.88513982457545,246.00186017542404
2017-11-26 08:00:00,Binance:ETHUSDT,461.0,465.0,436.14,462.84,21691.11759,29.737251,394.09,406.44,353.69,371.83,324.23,337.45,314.88,317.51,,,408.2820079311298,299.0919920688698,462.87701586225984,244.49698413773973
2017-11-27 08:00:00,Binance:ETHUSDT,462.84,486.94,453.0,472.31,23761.11416,31.96553,408.2,418.42,362.71,381.4,327.45,342.74,316.7,320.57,,,421.11798752236496,304.3090124776346,479.5224750447301,245.9045249552695
2017-11-28 08:00:00,Binance:ETHUSDT,472.32,477.5,453.5,466.17,23967.24816,34.034646,420.15,427.1,370.87,389.48,330.83,347.58,318.37,323.46,,,431.7112500734514,310.0307499265482,492.551500146903,249.19049985309664
2017-11-29 08:00:00,Binance:ETHUSDT,466.17,515.0,385.0,421.7,51313.49571,32.557317,426.9,426.12,376.06,392.55,333.29,350.49,319.35,325.4,,,436.5877709101752,315.53722908982445,497.1130418203506,255.01195817964907
2017-11-30 08:00:00,Binance:ETHUSDT,421.92,460.0,387.01,427.43,45184.22265,31.185512,432.9,426.36,382.76,395.87,335.76,353.51,320.53,327.42,,,441.15050613745206,324.36749386254763,499.54201227490427,265.9759877250954
2017-12-01 08:00:00,Binance:ETHUSDT,428.05,465.97,413.74,457.51,33072.21995,30.091283,442.44,432.02,390.13,401.74,338.83,357.58,321.95,330.0,,,448.1853925854284,332.0816074145712,506.237285170857,274.0297148291426
2017-12-02 08:00:00,Binance:ETHUSDT,457.53,471.91,445.0,457.63,25796.14,29.256429,450.14,436.68,397.75,407.06,341.22,361.51,323.29,332.53,,,454.13924842104774,341.3667515789519,510.5254968420956,284.980503157904
2017-12-03 08:00:00,Binance:ETHUSDT,457.31,485.9,440.11,460.3,24490.05997,28.895309,455.67,440.97,405.12,412.13,343.59,365.38,324.62,335.06,,,459.53840879035056,350.6985912096492,513.9583175807013,296.27868241929843
2017-12-04 08:00:00,Binance:ETHUSDT,460.3,470.98,445.0,466.66,23090.46989,28.559982,455.44,445.64,411.67,417.32,346.16,369.35,325.98,337.66,,,465.20965378397204,358.1323462160278,518.7483075679442,304.5936924320557
2017-12-05 08:00:00,Binance:ETHUSDT,466.6,468.67,445.21,453.64,25419.35554,28.248608,454.62,447.1,417.79,420.78,348.53,372.66,327.03,339.96,,,468.72100836859113,366.8519916314086,519.6555167371823,315.9174832628174
2017-12-06 08:00:00,Binance:ETHUSDT,452.88,455.1,400.0,411.04,38608.51155,26.479323,449.44,440.54,421.76,419.86,350.45,374.16,327.68,341.37,,,468.7578836871355,374.7701163128644,515.751767374271,327.7762326257289
2017-12-07 08:00:00,Binance:ETHUSDT,413.0,427.61,375.01,406.31,41343.30217,25.643916,442.84,434.32,425.52,418.57,352.38,375.42,328.0,342.65,,,467.90259196453405,383.1334080354658,510.28718392906814,340.7488160709317
2017-12-08 08:00:00,Binance:ETHUSDT,406.31,456.78,390.0,442.54,41078.20268,23.81597,440.48,435.81,430.31,420.85,355.06,378.06,328.57,344.63,,,468.744140403573,391.879859596427,507.176280807146,353.44771919285404
2017-12-09 08:00:00,Binance:ETHUSDT,442.54,488.0,426.4,460.0,41905.98008,23.031985,444.31,440.21,435.6,424.58,358.17,381.27,329.32,346.91,,,470.2895863448535,400.91941365514657,504.97467268970695,366.2343273102931
2017-12-10 08:00:00,Binance:ETHUSDT,460.02,460.05,403.2,429.91,34920.62841,21.550519,444.55,438.34,438.73,425.09,360.79,383.18,329.73,348.56,,,469.7525036544869,407.7054963455131,500.7760073089737,376.68199269102627
2017-12-11 08:00:00,Binance:ETHUSDT,427.4,512.0,427.4,509.69,29781.26996,21.458777,449.77,451.31,446.11,433.14,365.11,388.14,331.4,351.75,,,475.5411839140122,416.6738160859877,504.97486782802446,387.24013217197546
2017-12-12 08:00:00,Binance:ETHUSDT,509.69,639.27,494.89,619.4,59379.26709,23.23456,465.95,481.87,458.04,450.88,371.87,397.21,334.17,357.05,,,502.89049202539763,413.1995079746023,547.7359840507952,368.35401594920467
2017-12-13 08:00:00,Binance:ETHUSDT,619.4,705.69,539.93,684.01,57711.00473,25.478406,488.32,518.62,472.0,473.08,379.61,408.45,338.18,363.52,,,537.0248946208173,406.96610537918264,602.0542892416347,341.9367107583653
2017-12-14 08:00:00,Binance:ETHUSDT,684.0,747.6,630.5,679.87,60922.30235,27.870933,509.64,547.94,482.54,492.78,387.31,419.1,341.86,369.79,,,561.771559651951,403.30644034804914,641.0041193039018,324.0738806960983
2017-12-15 08:00:00,Binance:ETHUSDT,679.01,689.0,594.6,673.75,39752.26693,29.174297,531.65,570.82,493.14,510.01,394.89,429.09,345.24,375.81,,,582.4222917149565,403.8487082850436,671.7090834299129,314.56191657008713
2017-12-16 08:00:00,Binance:ETHUSDT,674.95,712.0,669.22,680.33,26879.68669,30.587951,558.58,590.73,504.01,526.23,402.57,438.94,348.7,381.84,,,601.7856339790235,406.2343660209766,699.561267958047,308.45873204195317
2017-12-17 08:00:00,Binance:ETHUSDT,682.17,728.0,680.34,705.03,31380.84008,32.039454,588.45,611.51,515.65,543.26,410.84,449.37,352.72,388.24,,,622.3928295735285,408.89917042647164,729.139659147057,302.15234085294315
2017-12-18 08:00:00,Binance:ETHUSDT,706.35,798.88,638.0,784.0,45668.66784,33.9264,622.6,642.87,531.54,566.19,420.42,462.5,357.59,396.07,,,652.4533616094261,410.6216383905742,773.369223218852,289.7057767811483
2017-12-19 08:00:00,Binance:ETHUSDT,784.0,864.9,729.01,798.0,69423.62125,36.075055,656.4,671.08,550.35,588.27,430.23,475.65,362.64,404.03,,,681.5528839123574,419.15211608764275,812.7532678247148,287.9517321752854
2017-12-20 08:00:00,Binance:ETHUSDT,798.0,828.0,661.0,790.21,72526.28416,36.557899,692.43,692.74,568.49,607.5,439.94,487.99,367.57,411.68,,,706.3523043743761,430.63069562562407,844.2131087487521,292.76989125124805
2017-12-21 08:00:00,Binance:ETHUSDT,794.62,845.99,705.98,782.41,78222.53998,37.151089,719.7,709.04,584.74,624.16,449.85,499.53,372.45,419.02,,,727.6137652410099,441.8592347589903,870.4910304820198,298.9819695179804
2017-12-22 08:00:00,Binance:ETHUSDT,784.0,796.0,504.99,635.97,154630.49482,34.606832,721.36,695.76,593.65,625.28,456.9,504.88,376.04,423.32,,,733.8599210111288,453.4470789888714,874.0663420222576,313.24065797774267
2017-12-23 08:00:00,Binance:ETHUSDT,635.15,714.99,627.97,640.34,79001.05634,32.244307,716.99,685.68,602.66,626.72,463.63,510.2,380.29,427.61,,,739.7562956021773,465.55470439782283,876.8570912043546,328.4539087956456
2017-12-24 08:00:00,Binance:ETHUSDT,640.33,667.64,563.49,658.0,95431.94156,30.558037,714.8,680.65,612.22,629.7,470.83,515.99,384.34,432.18,,,746.1385653123814,478.3064346876188,880.0546306247627,344.39036937523747
2017-12-25 08:00:00,Binance:ETHUSDT,659.4,744.0,599.99,714.95,78544.84102,28.63726,718.92,686.88,625.29,637.82,479.22,523.79,389.0,437.78,,,755.7986576337728,494.77734236622774,886.3093152675452,364.26668473245525
